,Output new client connection
,Output_client0: dropping data
,Velocity suppressed due to velocity confidence of 333333.3 exceeding 5 m/s
411899,"ObservationCombiner -- starting new sequence, old sequence interrupted."
411901.5,BDS B1 26 Ephemeris with key 21690 differs from previously received
411901.5,BDS B1 14 Ephemeris with key 21690 differs from previously received
411901.5,BDS B1 24 Ephemeris with key 21690 differs from previously received
411901.5,BDS B1 21 Ephemeris with key 21690 differs from previously received
411901.5,BDS B1 14 Ephemeris with key 21690 differs from previously received
411901.5,BDS B1 21 Ephemeris with key 21690 differs from previously received
411901.5,BDS B1 24 Ephemeris with key 21690 differs from previously received
411901.5,BDS B1 26 Ephemeris with key 21690 differs from previously received
411931.5,BDS B1 25 Ephemeris with key 21690 differs from previously received
411931.5,BDS B1 8 Ephemeris with key 21690 differs from previously received
411931.5,BDS B1 8 Ephemeris with key 21690 differs from previously received
411931.5,BDS B1 25 Ephemeris with key 21690 differs from previously received
411934,GPS L1CA 30 Ephemeris with key 30 differs from previously received
411934,GPS L1CA 30 Ephemeris with key 30 differs from previously received
412220.4,BDS B1 8 Ephemeris with key 21690 differs from previously received
412220.4,BDS B1 14 Ephemeris with key 21690 differs from previously received
412220.4,BDS B1 21 Ephemeris with key 21690 differs from previously received
412220.4,BDS B1 24 Ephemeris with key 21690 differs from previously received
412220.4,BDS B1 25 Ephemeris with key 21690 differs from previously received
412220.4,BDS B1 26 Ephemeris with key 21690 differs from previously received
412220.7,GPS L1CA 30 Ephemeris with key 30 differs from previously received
412221,GPS L1CA 30 Ephemeris with key 30 differs from previously received
412221,BDS B1 8 Ephemeris with key 21690 differs from previously received
412221,BDS B1 14 Ephemeris with key 21690 differs from previously received
412221,BDS B1 21 Ephemeris with key 21690 differs from previously received
412221,BDS B1 24 Ephemeris with key 21690 differs from previously received
412221,BDS B1 26 Ephemeris with key 21690 differs from previously received
412232.1,BDS B1 26 Ephemeris with key 21690 differs from previously received
412232.1,BDS B1 14 Ephemeris with key 21690 differs from previously received
412232.1,BDS B1 24 Ephemeris with key 21690 differs from previously received
412232.3,BDS B1 14 Ephemeris with key 21690 differs from previously received
412232.3,BDS B1 24 Ephemeris with key 21690 differs from previously received
412232.3,BDS B1 26 Ephemeris with key 21690 differs from previously received
412234,BDS B1 25 Ephemeris with key 21690 differs from previously received
412292.1,BDS B1 25 Ephemeris with key 21690 differs from previously received
412292.1,BDS B1 8 Ephemeris with key 21690 differs from previously received
412292.3,BDS B1 8 Ephemeris with key 21690 differs from previously received
412292.3,BDS B1 25 Ephemeris with key 21690 differs from previously received
412301.9,GPS L1CA 30 Ephemeris with key 30 differs from previously received
412302,GPS L1CA 30 Ephemeris with key 30 differs from previously received
412442.1,BDS B1 21 Ephemeris with key 21690 differs from previously received
412442.3,BDS B1 21 Ephemeris with key 21690 differs from previously received
412447.3,(robust_estimator.cc:526) maximum outlier count of 1 exceeded
412451,(robust_estimator.cc:414) MDE failure: possible position error too large.
412452,(robust_estimator.cc:414) MDE failure: possible position error too large.
412453,(robust_estimator.cc:414) MDE failure: possible position error too large.
412454,(robust_estimator.cc:414) MDE failure: possible position error too large.
412455,(robust_estimator.cc:414) MDE failure: possible position error too large.
412456,(robust_estimator.cc:414) MDE failure: possible position error too large.
412457,(robust_estimator.cc:414) MDE failure: possible position error too large.
412458,(robust_estimator.cc:414) MDE failure: possible position error too large.
412459,(robust_estimator.cc:414) MDE failure: possible position error too large.
412460,(robust_estimator.cc:414) MDE failure: possible position error too large.
412461,(robust_estimator.cc:414) MDE failure: possible position error too large.
412462,(robust_estimator.cc:414) MDE failure: possible position error too large.
412463,(robust_estimator.cc:414) MDE failure: possible position error too large.
412464,(robust_estimator.cc:414) MDE failure: possible position error too large.
412465,(robust_estimator.cc:414) MDE failure: possible position error too large.
412466,(robust_estimator.cc:414) MDE failure: possible position error too large.
412467,(robust_estimator.cc:414) MDE failure: possible position error too large.
412468,(robust_estimator.cc:414) MDE failure: possible position error too large.
412469,(robust_estimator.cc:414) MDE failure: possible position error too large.
412470,(robust_estimator.cc:414) MDE failure: possible position error too large.
412471,(robust_estimator.cc:414) MDE failure: possible position error too large.
412472,(robust_estimator.cc:414) MDE failure: possible position error too large.
412473,(robust_estimator.cc:414) MDE failure: possible position error too large.
412474,(robust_estimator.cc:414) MDE failure: possible position error too large.
412475,(robust_estimator.cc:414) MDE failure: possible position error too large.
412476.1,(robust_estimator.cc:414) MDE failure: possible position error too large.
412477,(robust_estimator.cc:414) MDE failure: possible position error too large.
412478,(robust_estimator.cc:414) MDE failure: possible position error too large.
412479,(robust_estimator.cc:414) MDE failure: possible position error too large.
412480,(robust_estimator.cc:414) MDE failure: possible position error too large.
412481,(robust_estimator.cc:414) MDE failure: possible position error too large.
412482,(robust_estimator.cc:414) MDE failure: possible position error too large.
412483,(robust_estimator.cc:414) MDE failure: possible position error too large.
412484,(robust_estimator.cc:526) maximum outlier count of 1 exceeded
412484,(filter.cc:499) Filter reset because outlier detection failed repeatedly
412484.3,Velocity suppressed due to update delta time of 37.48 s exceeding allowable update delta time of 1.00 s
412820.3,BDS B1 8 Ephemeris with key 21690 differs from previously received
412820.3,BDS B1 14 Ephemeris with key 21690 differs from previously received
412820.3,BDS B1 8 Ephemeris with key 21690 differs from previously received
412820.3,BDS B1 14 Ephemeris with key 21690 differs from previously received
412820.4,BDS B1 21 Ephemeris with key 21690 differs from previously received
412820.4,BDS B1 24 Ephemeris with key 21690 differs from previously received
412820.4,BDS B1 25 Ephemeris with key 21690 differs from previously received
412820.4,BDS B1 26 Ephemeris with key 21690 differs from previously received
412820.9,GPS L1CA 30 Ephemeris with key 30 differs from previously received
412821,GPS L1CA 30 Ephemeris with key 30 differs from previously received
412821,BDS B1 21 Ephemeris with key 21690 differs from previously received
412821,BDS B1 24 Ephemeris with key 21690 differs from previously received
412821,BDS B1 26 Ephemeris with key 21690 differs from previously received
